MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y0000,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,STK,,,,,,,Y,0,Y0
Y0001,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,STK,,,,,,,Y,1,Y1
Y0002,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,STK,,,,,,,Y,2,Y2
Y0003,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,STK,,,,,,,Y,3,Y3
Y0004,AGVS,,Boolean,,,,,,,,,,,,Y,4,Y4
Y0005,AGVS,,Boolean,,,,,,,,,,,,Y,5,Y5
Y0006,AGVS,,Boolean,,,,,,,,,,,,Y,6,Y6
Y0007,AGVS,,Boolean,,,,,,,,,,,,Y,7,Y7
Y0008,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,STK,,,,,,,Y,8,Y8
Y0009,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,STK,,,,,,,Y,9,Y9
Y000A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,STK,,,,,,,Y,10,YA
Y000B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,STK,,,,,,,Y,11,YB
Y000C,AGVS,,Boolean,,,,,,,,,,,,Y,12,YC
Y000D,AGVS,,Boolean,,,,,,,,,,,,Y,13,YD
Y000E,AGVS,,Boolean,,,,,,,,,,,,Y,14,YE
Y000F,AGVS,,Boolean,,,,,,,,,,,,Y,15,YF
Y0010,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,QV,,,,,,,Y,16,Y10
Y0011,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,QV,,,,,,,Y,17,Y11
Y0012,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,QV,,,,,,,Y,18,Y12
Y0013,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,QV,,,,,,,Y,19,Y13
Y0014,AGVS,,Boolean,,,,,,,,,,,,Y,20,Y14
Y0015,AGVS,,Boolean,,,,,,,,,,,,Y,21,Y15
Y0016,AGVS,,Boolean,,,,,,,,,,,,Y,22,Y16
Y0017,AGVS,,Boolean,,,,,,,,,,,,Y,23,Y17
Y0018,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,QV,,,,,,,Y,24,Y18
Y0019,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,QV,,,,,,,Y,25,Y19
Y001A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,QV,,,,,,,Y,26,Y1A
Y001B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,QV,,,,,,,Y,27,Y1B
Y001C,AGVS,,Boolean,,,,,,,,,,,,Y,28,Y1C
Y001D,AGVS,,Boolean,,,,,,,,,,,,Y,29,Y1D
Y001E,AGVS,,Boolean,,,,,,,,,,,,Y,30,Y1E
Y001F,AGVS,,Boolean,,,,,,,,,,,,Y,31,Y1F
Y0020,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOI_1,,,,,,,Y,32,Y20
Y0021,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOI_1,,,,,,,Y,33,Y21
Y0022,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOI_1,,,,,,,Y,34,Y22
Y0023,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOI_1,,,,,,,Y,35,Y23
Y0024,AGVS,,Boolean,,,,,,,,,,,,Y,36,Y24
Y0025,AGVS,,Boolean,,,,,,,,,,,,Y,37,Y25
Y0026,AGVS,,Boolean,,,,,,,,,,,,Y,38,Y26
Y0027,AGVS,,Boolean,,,,,,,,,,,,Y,39,Y27
Y0028,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_1,,,,,,,Y,40,Y28
Y0029,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_1,,,,,,,Y,41,Y29
Y002A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_1,,,,,,,Y,42,Y2A
Y002B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_1,,,,,,,Y,43,Y2B
Y002C,AGVS,,Boolean,,,,,,,,,,,,Y,44,Y2C
Y002D,AGVS,,Boolean,,,,,,,,,,,,Y,45,Y2D
Y002E,AGVS,,Boolean,,,,,,,,,,,,Y,46,Y2E
Y002F,AGVS,,Boolean,,,,,,,,,,,,Y,47,Y2F
Y0030,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOI_2,,,,,,,Y,48,Y30
Y0031,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOI_2,,,,,,,Y,49,Y31
Y0032,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOI_2,,,,,,,Y,50,Y32
Y0033,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOI_2,,,,,,,Y,51,Y33
Y0034,AGVS,,Boolean,,,,,,,,,,,,Y,52,Y34
Y0035,AGVS,,Boolean,,,,,,,,,,,,Y,53,Y35
Y0036,AGVS,,Boolean,,,,,,,,,,,,Y,54,Y36
Y0037,AGVS,,Boolean,,,,,,,,,,,,Y,55,Y37
Y0038,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_2,,,,,,,Y,56,Y38
Y0039,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_2,,,,,,,Y,57,Y39
Y003A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_2,,,,,,,Y,58,Y3A
Y003B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_2,,,,,,,Y,59,Y3B
Y003C,AGVS,,Boolean,,,,,,,,,,,,Y,60,Y3C
Y003D,AGVS,,Boolean,,,,,,,,,,,,Y,61,Y3D
Y003E,AGVS,,Boolean,,,,,,,,,,,,Y,62,Y3E
Y003F,AGVS,,Boolean,,,,,,,,,,,,Y,63,Y3F
Y0040,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOI_3,,,,,,,Y,64,Y40
Y0041,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOI_3,,,,,,,Y,65,Y41
Y0042,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOI_3,,,,,,,Y,66,Y42
Y0043,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOI_3,,,,,,,Y,67,Y43
Y0044,AGVS,,Boolean,,,,,,,,,,,,Y,68,Y44
Y0045,AGVS,,Boolean,,,,,,,,,,,,Y,69,Y45
Y0046,AGVS,,Boolean,,,,,,,,,,,,Y,70,Y46
Y0047,AGVS,,Boolean,,,,,,,,,,,,Y,71,Y47
Y0048,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_3,,,,,,,Y,72,Y48
Y0049,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_3,,,,,,,Y,73,Y49
Y004A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_3,,,,,,,Y,74,Y4A
Y004B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_3,,,,,,,Y,75,Y4B
Y004C,AGVS,,Boolean,,,,,,,,,,,,Y,76,Y4C
