MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,MemoY Type _ 1,MemoY Address,
Y0000,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,TS_1,,,,,,,Y,0,Y0000
Y0001,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,TS_1,,,,,,,Y,1,Y0001
Y0002,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,TS_1,,,,,,,Y,2,Y0002
Y0003,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,TS_1,,,,,,,Y,3,Y0003
Y0004,AGVS,,Boolean,,PORT1,,5,TS_1,,,,,,,Y,4,Y0004
Y0005,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,6,TS_1,,,,,,,Y,5,Y0005
Y0006,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,7,TS_1,,,,,,,Y,6,Y0006
Y0007,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,8,TS_1,,,,,,,Y,7,Y0007
Y0008,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,9,TS_1,,,,,,,Y,8,Y0008
Y0009,AGVS,,Boolean,,PORT1,,10,TS_1,,,,,,,Y,9,Y0009
Y000A,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,11,TS_1,,,,,,,Y,10,Y000A
Y000B,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,12,TS_1,,,,,,,Y,11,Y000B
Y000C,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,13,TS_1,,,,,,,Y,12,Y000C
Y000D,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,14,TS_1,,,,,,,Y,13,Y000D
Y000E,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,15,TS_1,,,,,,,Y,14,Y000E
Y000F,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,16,TS_1,,,,,,,Y,15,Y000F
Y0010,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,TS_2_1,,,,,,,Y,16,Y0010
Y0011,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,TS_2_1,,,,,,,Y,17,Y0011
Y0012,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,TS_2_1,,,,,,,Y,18,Y0012
Y0013,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,TS_2_1,,,,,,,Y,19,Y0013
Y0014,AGVS,,Boolean,,PORT1,,5,TS_2_1,,,,,,,Y,20,Y0014
Y0015,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,6,TS_2_1,,,,,,,Y,21,Y0015
Y0016,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,7,TS_2_1,,,,,,,Y,22,Y0016
Y0017,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,8,TS_2_1,,,,,,,Y,23,Y0017
Y0018,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,9,TS_2_1,,,,,,,Y,24,Y0018
Y0019,AGVS,,Boolean,,PORT1,,10,TS_2_1,,,,,,,Y,25,Y0019
Y001A,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,11,TS_2_1,,,,,,,Y,26,Y001A
Y001B,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,12,TS_2_1,,,,,,,Y,27,Y001B
Y001C,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,13,TS_2_1,,,,,,,Y,28,Y001C
Y001D,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,14,TS_2_1,,,,,,,Y,29,Y001D
Y001E,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,15,TS_2_1,,,,,,,Y,30,Y001E
Y001F,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,16,TS_2_1,,,,,,,Y,31,Y001F
