Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X0000,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,TS_1,,,,,,,X,0,X0
X0001,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,TS_1,,,,,,,X,1,X1
X0002,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,TS_1,,,,,,,X,2,X2
X0003,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,TS_1,,,,,,,X,3,X3
X0004,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,TS_1,,,,,,,X,4,X4
X0005,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,TS_1,,,,,,,X,5,X5
X0006,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,TS_1,,,,,,,X,6,X6
X0007,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,TS_1,,,,,,,X,7,X7
X0008,EQP,EQP Status Run,Boolean,,PORT1,EQP_RUN,9,TS_1,,,,,,,X,8,X8
X0009,EQP,EQP Status Idle,Boolean,,PORT1,EQP_IDLE,10,TS_1,,,,,,,X,9,X9
X000A,EQP,EQP Status Down,Boolean,,PORT1,EQP_DOWN,11,TS_1,,,,,,,X,10,XA
X000B,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT1,Carrier_WaitIn_System_Request,12,TS_1,,,,,,,X,11,XB
X000C,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT1,Carrier_WaitOut_System_Report,13,TS_1,,,,,,,X,12,XC
X000D,EQP,Carrier Removed Completed Report,Boolean,,PORT1,Carrier_Removed_Completed_Report,14,TS_1,,,,,,,X,13,XD
X000E,EQP,Port Mode Change Accept (Flag),Boolean,,PORT1,Port_Mode_Change_Accept,15,TS_1,,,,,,,X,14,XE
X000F,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT1,Port_Mode_Changed_Refuse,16,TS_1,,,,,,,X,15,XF
X0010,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,TS_2_1,,,,,,,X,16,X10
X0011,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,TS_2_1,,,,,,,X,17,X11
X0012,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,TS_2_1,,,,,,,X,18,X12
X0013,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,TS_2_1,,,,,,,X,19,X13
X0014,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,TS_2_1,,,,,,,X,20,X14
X0015,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,TS_2_1,,,,,,,X,21,X15
X0016,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,TS_2_1,,,,,,,X,22,X16
X0017,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,TS_2_1,,,,,,,X,23,X17
X0018,EQP,EQP Status Run,Boolean,,PORT1,EQP_RUN,9,TS_2_1,,,,,,,X,24,X18
X0019,EQP,EQP Status Idle,Boolean,,PORT1,EQP_IDLE,10,TS_2_1,,,,,,,X,25,X19
X001A,EQP,EQP Status Down,Boolean,,PORT1,EQP_DOWN,11,TS_2_1,,,,,,,X,26,X1A
X001B,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT1,Carrier_WaitIn_System_Request,12,TS_2_1,,,,,,,X,27,X1B
X001C,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT1,Carrier_WaitOut_System_Report,13,TS_2_1,,,,,,,X,28,X1C
X001D,EQP,Carrier Removed Completed Report,Boolean,,PORT1,Carrier_Removed_Completed_Report,14,TS_2_1,,,,,,,X,29,X1D
X001E,EQP,Port Mode Change Accept (Flag),Boolean,,PORT1,Port_Mode_Change_Accept,15,TS_2_1,,,,,,,X,30,X1E
X001F,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT1,Port_Mode_Changed_Refuse,16,TS_2_1,,,,,,,X,31,X1F
X0020,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,TS_2_2,,,,,,,X,32,X20
X0021,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,TS_2_2,,,,,,,X,33,X21
X0022,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,TS_2_2,,,,,,,X,34,X22
X0023,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,TS_2_2,,,,,,,X,35,X23
X0024,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,TS_2_2,,,,,,,X,36,X24
X0025,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,TS_2_2,,,,,,,X,37,X25
X0026,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,TS_2_2,,,,,,,X,38,X26
X0027,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,TS_2_2,,,,,,,X,39,X27
X0028,EQP,EQP Status Run,Boolean,,PORT1,EQP_RUN,9,TS_2_2,,,,,,,X,40,X28
X0029,EQP,EQP Status Idle,Boolean,,PORT1,EQP_IDLE,10,TS_2_2,,,,,,,X,41,X29
