Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_NAME,,,,,,,
WW000,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,Interface_Clock,55,TS_1,,,,,WW00,0,WW000
WW001,AGVS,,,,,,56,TS_1,,,,,WW00,1,WW001
WW002,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT1,Port_Type_Status,57,TS_1,,,,,WW00,2,WW002
WW003,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT2,Port_Type_Status,58,TS_1,,,,,WW00,3,WW003
WW004,AGVS,,,,,,59,TS_1,,,,,WW00,4,WW004
WW005,AGVS,,,,,,60,TS_1,,,,,WW00,5,WW005
WW006,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_DOWNLOAD_INDEX,61,TS_1,,,,,WW00,6,WW006
WW007,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,TS_1,,,,,WW00,7,WW007
WW008,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,TS_1,,,,,WW00,8,WW008
WW009,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_1,64,TS_1,,,,,WW00,9,WW009
WW00A,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,TS_1,,,,,WW00,10,WW00A
WW00B,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,TS_1,,,,,WW00,11,WW00B
WW00C,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,TS_1,,,,,WW00,12,WW00C
WW00D,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,TS_1,,,,,WW00,13,WW00D
WW00E,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,TS_1,,,,,WW00,14,WW00E
WW00F,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,TS_1,,,,,WW00,15,WW00F
WW0010,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,TS_1,,,,,WW00,16,WW0010
WW0011,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,TS_1,,,,,WW00,17,WW0011
WW0012,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,TS_1,,,,,WW00,18,WW0012
WW0013,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,TS_1,,,,,WW00,19,WW0013
WW0014,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,TS_1,,,,,WW00,20,WW0014
WW0015,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,TS_1,,,,,WW00,21,WW0015
WW0016,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,TS_1,,,,,WW00,22,WW0016
WW0017,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,TS_1,,,,,WW00,23,WW0017
WW0018,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,TS_1,,,,,WW00,24,WW0018
WW0019,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_17,80,TS_1,,,,,WW00,25,WW0019
WW001A,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,TS_1,,,,,WW00,26,WW001A
WW001B,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,TS_1,,,,,WW00,27,WW001B
WW001C,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,TS_1,,,,,WW00,28,WW001C
WW001D,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,TS_1,,,,,WW00,29,WW001D
WW001E,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,TS_1,,,,,WW00,30,WW001E
WW001F,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,TS_1,,,,,WW00,31,WW001F
WW0020,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,TS_1,,,,,WW00,32,WW0020
WW0021,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,TS_1,,,,,WW00,33,WW0021
WW0022,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,TS_1,,,,,WW00,34,WW0022
