Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,Memory Type _ 1,Memory Address,
B0000,AGVS,,Boolean,,,,,,,,,,,,B,0,B0
B0001,AGVS,,Boolean,,,,,,,,,,,,B,1,B1
B0002,AGVS,,Boolean,,,,,,,,,,,,B,2,B2
B0003,AGVS,,Boolean,,,,,,,,,,,,B,3,B3
B0004,AGVS,VALID,Boolean,5.2.2 Status Download by AGVS,PORT1,VALID,16,,,,,,,,B,4,B4
B0005,AGVS,TR-REQ,Boolean,5.2.2 Status Download by AGVS,PORT1,TR_REQ,17,,,,,,,,B,5,B5
B0006,AGVS,BUSY,Boolean,5.2.2 Status Download by AGVS,PORT1,BUSY,18,,,,,,,,B,6,B6
B0007,AGVS,COMPT,Boolean,5.2.2 Status Download by AGVS,PORT1,COMPT,19,,,,,,,,B,7,B7
B0008,AGVS,AGV_READY,Boolean,,PORT1,AGV_READY,20,,,,,,,,B,8,B8
B0009,AGVS,,Boolean,,,,,,,,,,,,B,9,B9
B000A,AGVS,,Boolean,,,,,,,,,,,,B,10,BA
B000B,AGVS,,Boolean,,,,,,,,,,,,B,11,BB
B000C,AGVS,Port Mode Change Request,Boolean,,PORT1,Port_Mode_Change_Request,,,,,,,,,B,12,BC
B000D,AGVS,Port Mode Changed Report Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,,,,,,,,B,13,BD
B000E,AGVS,Port Disabled Report Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,,,,,,,,B,14,BE
B000F,AGVS,Port Enbled Report Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,,,,,,,,B,15,BF
B0010,AGVS,,Boolean,6.1 Rack Load Request,PORT1,,,,,,,,,,B,16,B10
B0011,AGVS,Carrier WaitIn System Reply,Boolean,6.1 Rack Unload Request,PORT1,Carrier_WaitIn_System_Reply,,,,,,,,,B,17,B11
B0012,AGVS,Carrier WaitIn System Accept,Boolean,6.2 Change Mode CMD,PORT1,Carrier_WaitIn_System_Accept,,,,,,,,,B,18,B12
B0013,AGVS,Carrier WaitIn System Refuse,Boolean,6.3 Manual Load Complete,PORT1,Carrier_WaitIn_System_Refuse,,,,,,,,,B,19,B13
B0014,AGVS,Carrier WawitOut System Reply,Boolean,6.3 Manual Unload Complete,PORT1,Carrier_WaitOut_System_Reply,,,,,,,,,B,20,B14
B0015,AGVS,Carrier Removed Completed Report Reply,Boolean,6.4 Mode Change Request,PORT1,Carrier_Removed_Completed_Report_Reply,,,,,,,,,B,21,B15
B0016,AGVS,Carrier Force In System Reply,Boolean,6.4 Mode Change Request,PORT1,Carrier_Force_In_System_Reply,,,,,,,,,B,22,B16
B0017,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,24,,,,,,,,B,23,B17
B0018,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,25,,,,,,,,B,24,B18
