Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,Memory Type _ 1,Memory Address,
B0100,EQP,EQP Status Run,Boolean,5.2.1 Status Report by EQ,EQ,EQP_RUN,,,,,,,,,B,256,B100
B0101,EQP,EQP Status Idle,Boolean,5.2.1 Status Report by EQ,EQ,EQP_IDLE,,,,,,,,,B,257,B101
B0102,EQP,EQP Status Down,Boolean,5.2.1 Status Report by EQ,EQ,EQP_DOWN,,,,,,,,,B,258,B102
B0103,EQP,,Boolean,5.2.1 Status Report by EQ,,,,,,,,,,,B,259,B103
B0104,EQP,L_REQ,Boolean,5.2.1 Status Report by EQ,PORT1,L_REQ,1,,,,,,,,B,260,B104
B0105,EQP,U_REQ,Boolean,5.2.1 Status Report by EQ,PORT1,U_REQ,2,,,,,,,,B,261,B105
B0106,EQP,EQ_READY,Boolean,5.2.1 Status Report by EQ,PORT1,EQ_READY,3,,,,,,,,B,262,B106
B0107,EQP,EQ_BUSY,Boolean,5.2.1 Status Report by EQ,PORT1,EQ_BUSY,4,,,,,,,,B,263,B107
B0108,EQP,,Boolean,5.2.1 Status Report by EQ,PORT1,,5,,,,,,,,B,264,B108
B0109,EQP,Load_Request,Boolean,5.2.1 Status Report by EQ,PORT1,Load_Request,6,,,,,,,,B,265,B109
B010A,EQP,Unload_Request,Boolean,5.2.1 Status Report by EQ,PORT1,Unload_Request,7,,,,,,,,B,266,B10A
B010B,EQP,Port_Exist,Boolean,5.2.1 Status Report by EQ,PORT1,Port_Exist,8,,,,,,,,B,267,B10B
B010C,EQP,Port Status Down,Boolean,,PORT1,Port_Status_Down,11,,,,,,,,B,268,B10C
B010D,EQP,LD_UP_POS,Boolean,,PORT1,LD_UP_POS,9,,,,,,,,B,269,B10D
B010E,EQP,LD_DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,10,,,,,,,,B,270,B10E
B010F,EQP,Door Opened,Boolean,,PORT1,Door_Opened,13,,,,,,,,B,271,B10F
B0110,EQP,TB_DOWN_POS,Boolean,6.1 Rack Load Request,PORT1,TB_DOWN_POS,12,,,,,,,,B,272,B110
B0111,EQP,,Boolean,6.1 Rack Unload Request,PORT1,,,,,,,,,,B,273,B111
B0112,EQP,,Boolean,6.2 Change Mode CMD,PORT1,,,,,,,,,,B,274,B112
B0113,EQP,,Boolean,6.3 Manual Load Complete,PORT1,,,,,,,,,,B,275,B113
B0114,EQP,,Boolean,6.3 Manual Unload Complete,PORT1,,,,,,,,,,B,276,B114
B0115,EQP,,Boolean,6.4 Mode Change Request,PORT1,,,,,,,,,,B,277,B115
B0116,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT1,Carrier_WaitIn_System_Request,,,,,,,,,B,278,B116
B0117,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT1,Carrier_WaitOut_System_Report,,,,,,,,,B,279,B117
B0118,EQP,Carrier Removed Completed Report,Boolean,,PORT1,Carrier_Removed_Completed_Report,,,,,,,,,B,280,B118
B0119,EQP,Carrier Force In System Request,Boolean,,PORT1,Carrier_Force_In_System_Request,,,,,,,,,B,281,B119
B011A,EQP,,Boolean,,PORT1,,,,,,,,,,B,282,B11A
B011B,EQP,,Boolean,,PORT1,,,,,,,,,,B,283,B11B
B011C,EQP,,Boolean,,PORT1,,,,,,,,,,B,284,B11C
B011D,EQP,,Boolean,,PORT1,,,,,,,,,,B,285,B11D
B011E,EQP,,Boolean,,PORT1,,,,,,,,,,B,286,B11E
B011F,EQP,Port Mode Change Accept (Flag),Boolean,,PORT1,Port_Mode_Change_Accept,,,,,,,,,B,287,B11F
B0120,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT1,Port_Mode_Changed_Refuse,,,,,,,,,B,288,B120
B0121,EQP,Port Mode Changed Report(Flag),Boolean,,PORT1,Port_Mode_Changed_Report,,,,,,,,,B,289,B121
B0122,EQP,Port Disabled Report,Boolean,,PORT1,Port_Disabled_Report,,,,,,,,,B,290,B122
B0123,EQP,Port Enabled Report,Boolean,,PORT1,Port_Enabled_Report,,,,,,,,,B,291,B123
B0124,EQP,,Boolean,,,,,,,,,,,,B,292,B124
B0125,EQP,,Boolean,,,,,,,,,,,,B,293,B125
B0126,EQP,,Boolean,,,,,,,,,,,,B,294,B126
B0127,EQP,,Boolean,,,,,,,,,,,,B,295,B127
B0128,EQP,L_REQ,Boolean,,PORT2,L_REQ,1,,,,,,,,B,296,B128
B0129,EQP,U_REQ,Boolean,,PORT2,U_REQ,2,,,,,,,,B,297,B129
B012A,EQP,EQ_READY,Boolean,,PORT2,EQ_READY,3,,,,,,,,B,298,B12A
B012B,EQP,EQ_BUSY,Boolean,,PORT2,EQ_BUSY,4,,,,,,,,B,299,B12B
B012C,EQP,,Boolean,,PORT2,,5,,,,,,,,B,300,B12C
B012D,EQP,Load_Request,Boolean,,PORT2,Load_Request,6,,,,,,,,B,301,B12D
B012E,EQP,Unload_Request,Boolean,,PORT2,Unload_Request,7,,,,,,,,B,302,B12E
B012F,EQP,Port_Exist,Boolean,,PORT2,Port_Exist,8,,,,,,,,B,303,B12F
B0130,EQP,Port Status Down,Boolean,,PORT2,Port_Status_Down,11,,,,,,,,B,304,B130
B0131,EQP,LD_UP_POS,Boolean,,PORT2,LD_UP_POS,9,,,,,,,,B,305,B131
B0132,EQP,LD_DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,10,,,,,,,,B,306,B132
B0133,EQP,Door Opened,Boolean,,PORT2,Door_Opened,13,,,,,,,,B,307,B133
B0134,EQP,TB_DOWN_POS,Boolean,,PORT2,TB_DOWN_POS,12,,,,,,,,B,308,B134
B0135,EQP,,Boolean,,PORT2,,,,,,,,,,B,309,B135
B0136,EQP,,Boolean,,PORT2,,,,,,,,,,B,310,B136
B0137,EQP,,Boolean,,PORT2,,,,,,,,,,B,311,B137
B0138,EQP,,Boolean,,PORT2,,,,,,,,,,B,312,B138
B0139,EQP,,Boolean,,PORT2,,,,,,,,,,B,313,B139
B013A,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT2,Carrier_WaitIn_System_Request,,,,,,,,,B,314,B13A
B013B,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT2,Carrier_WaitOut_System_Report,,,,,,,,,B,315,B13B
B013C,EQP,Carrier Removed Completed Report,Boolean,,PORT2,Carrier_Removed_Completed_Report,,,,,,,,,B,316,B13C
B013D,EQP,Carrier Force In System Request,Boolean,,PORT2,Carrier_Force_In_System_Request,,,,,,,,,B,317,B13D
B013E,EQP,,Boolean,,PORT2,,,,,,,,,,B,318,B13E
B013F,EQP,,Boolean,,PORT2,,,,,,,,,,B,319,B13F
B0140,EQP,,Boolean,,PORT2,,,,,,,,,,B,320,B140
B0141,EQP,,Boolean,,PORT2,,,,,,,,,,B,321,B141
B0142,EQP,,Boolean,,PORT2,,,,,,,,,,B,322,B142
B0143,EQP,Port Mode Change Accept (Flag),Boolean,,PORT2,Port_Mode_Change_Accept,,,,,,,,,B,323,B143
B0144,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT2,Port_Mode_Changed_Refuse,,,,,,,,,B,324,B144
B0145,EQP,Port Mode Changed Report(Flag),Boolean,,PORT2,Port_Mode_Changed_Report,,,,,,,,,B,325,B145
B0146,EQP,Port Disabled Report,Boolean,,PORT2,Port_Disabled_Report,,,,,,,,,B,326,B146
B0147,EQP,Port Enabled Report,Boolean,,PORT2,Port_Enabled_Report,,,,,,,,,B,327,B147
B0148,EQP,,Boolean,,,,,,,,,,,,B,328,B148
B0149,EQP,,Boolean,,,,,,,,,,,,B,329,B149
B014A,EQP,,Boolean,,,,,,,,,,,,B,330,B14A
B014B,EQP,,Boolean,,,,,,,,,,,,B,331,B14B
B014C,EQP,,Boolean,,,,,,,,,,,,B,332,B14C
B014D,EQP,,Boolean,,,,,,,,,,,,B,333,B14D
B014E,EQP,,Boolean,,,,,,,,,,,,B,334,B14E
B014F,EQP,,Boolean,,,,,,,,,,,,B,335,B14F
B0150,EQP,,Boolean,,,,,,,,,,,,B,336,B150
B0151,EQP,,Boolean,,,,,,,,,,,,B,337,B151
B0152,EQP,,Boolean,,,,,,,,,,,,B,338,B152
B0153,EQP,,Boolean,,,,,,,,,,,,B,339,B153
B0154,EQP,,Boolean,,,,,,,,,,,,B,340,B154
B0155,EQP,,Boolean,,,,,,,,,,,,B,341,B155
B0156,EQP,,Boolean,,,,,,,,,,,,B,342,B156
B0157,EQP,,Boolean,,,,,,,,,,,,B,343,B157
B0158,EQP,,Boolean,,,,,,,,,,,,B,344,B158
B0159,EQP,,Boolean,,,,,,,,,,,,B,345,B159
B015A,EQP,,Boolean,,,,,,,,,,,,B,346,B15A
B015B,EQP,,Boolean,,,,,,,,,,,,B,347,B15B
B015C,EQP,,Boolean,,,,,,,,,,,,B,348,B15C
B015D,EQP,,Boolean,,,,,,,,,,,,B,349,B15D
B015E,EQP,,Boolean,,,,,,,,,,,,B,350,B15E
B015F,EQP,,Boolean,,,,,,,,,,,,B,351,B15F
B0160,EQP,,Boolean,,,,,,,,,,,,B,352,B160
