Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,
WW0000,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,Interface_Clock,55,,,,,,WW,0,WW0
WW0001,AGVS,,,,,,56,,,,,,WW,1,WW1
WW0002,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT1,Port_Type_Status,57,,,,,,WW,2,WW2
WW0003,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT2,Port_Type_Status,58,,,,,,WW,3,WW3
WW0004,AGVS,,,,,,59,,,,,,WW,4,WW4
WW0005,AGVS,,,,,,60,,,,,,WW,5,WW5
WW0006,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,,61,,,,,,WW,6,WW6
WW0007,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,,,,,,WW,7,WW7
WW0008,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,,,,,,WW,8,WW8
WW0009,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,,64,,,,,,WW,9,WW9
WW000A,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,,,,,,WW,10,WWA
WW000B,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,,,,,,WW,11,WWB
WW000C,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,,,,,,WW,12,WWC
WW000D,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,,,,,,WW,13,WWD
WW000E,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,,,,,,WW,14,WWE
WW000F,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,,,,,,WW,15,WWF
WW0010,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,,,,,,WW,16,WW10
WW0011,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,,,,,,WW,17,WW11
WW0012,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,,,,,,WW,18,WW12
WW0013,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,,,,,,WW,19,WW13
WW0014,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,,,,,,WW,20,WW14
WW0015,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,,,,,,WW,21,WW15
WW0016,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,,,,,,WW,22,WW16
WW0017,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,,,,,,WW,23,WW17
WW0018,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,,,,,,WW,24,WW18
WW0019,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,,80,,,,,,WW,25,WW19
WW001A,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,,,,,,WW,26,WW1A
WW001B,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,,,,,,WW,27,WW1B
WW001C,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,,,,,,WW,28,WW1C
WW001D,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,,,,,,WW,29,WW1D
WW001E,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,,,,,,WW,30,WW1E
WW001F,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,,,,,,WW,31,WW1F
WW0020,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,,,,,,WW,32,WW20
WW0021,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,,,,,,WW,33,WW21
WW0022,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,,,,,,WW,34,WW22
WW0023,AGVS,AGVS Message # 27,ASCII,6.4.1 AGVS Message Display,AGVS,,90,,,,,,WW,35,WW23
WW0024,AGVS,AGVS Message # 28,ASCII,6.4.1 AGVS Message Display,AGVS,,91,,,,,,WW,36,WW24
WW0025,AGVS,AGVS Message # 29,ASCII,6.4.1 AGVS Message Display,AGVS,,92,,,,,,WW,37,WW25
WW0026,AGVS,AGVS Message # 30,ASCII,6.4.1 AGVS Message Display,AGVS,,93,,,,,,WW,38,WW26
WW0027,AGVS,AGVS Message # 31,ASCII,6.4.1 AGVS Message Display,AGVS,,94,,,,,,WW,39,WW27
WW0028,AGVS,AGVS Message # 32,ASCII,6.4.1 AGVS Message Display,AGVS,,95,,,,,,WW,40,WW28
WW0029,AGVS,AGVS Message # 33,ASCII,6.4.1 AGVS Message Display,AGVS,,96,,,,,,WW,41,WW29
WW002A,AGVS,AGVS Message # 34,ASCII,6.4.1 AGVS Message Display,AGVS,,97,,,,,,WW,42,WW2A
WW002B,AGVS,AGVS Message # 35,ASCII,6.4.1 AGVS Message Display,AGVS,,98,,,,,,WW,43,WW2B
WW002C,AGVS,AGVS Message # 36,ASCII,6.4.1 AGVS Message Display,AGVS,,99,,,,,,WW,44,WW2C
WW002D,AGVS,AGVS Message # 37,ASCII,6.4.1 AGVS Message Display,AGVS,,100,,,,,,WW,45,WW2D
WW002E,AGVS,AGVS Message # 38,ASCII,6.4.1 AGVS Message Display,AGVS,,101,,,,,,WW,46,WW2E
WW002F,AGVS,AGVS Message # 39,ASCII,6.4.1 AGVS Message Display,AGVS,,102,,,,,,WW,47,WW2F
WW0030,AGVS,AGVS Message # 40,ASCII,6.4.1 AGVS Message Display,AGVS,,103,,,,,,WW,48,WW30
WW0031,AGVS,AGVS Message # 41,ASCII,6.4.1 AGVS Message Display,AGVS,,104,,,,,,WW,49,WW31
WW0032,AGVS,AGVS Message # 42,ASCII,6.4.1 AGVS Message Display,AGVS,,105,,,,,,WW,50,WW32
WW0033,AGVS,AGVS Message # 43,ASCII,6.4.1 AGVS Message Display,AGVS,,106,,,,,,WW,51,WW33
WW0034,AGVS,AGVS Message # 44,ASCII,6.4.1 AGVS Message Display,AGVS,,107,,,,,,WW,52,WW34
WW0035,AGVS,AGVS Message # 45,ASCII,6.4.1 AGVS Message Display,AGVS,,108,,,,,,WW,53,WW35
WW0036,AGVS,AGVS Message # 46,ASCII,6.4.1 AGVS Message Display,AGVS,,109,,,,,,WW,54,WW36
WW0037,AGVS,AGVS Message # 47,ASCII,6.4.1 AGVS Message Display,AGVS,,110,,,,,,WW,55,WW37
WW0038,AGVS,AGVS Message # 48,ASCII,6.4.1 AGVS Message Display,AGVS,,111,,,,,,WW,56,WW38
WW0039,AGVS,AGVS Message # 49,ASCII,6.4.1 AGVS Message Display,AGVS,,112,,,,,,WW,57,WW39
WW003A,AGVS,AGVS Message # 50,ASCII,6.4.1 AGVS Message Display,AGVS,,113,,,,,,WW,58,WW3A
WW003B,AGVS,AGVS Message # 51,ASCII,6.4.1 AGVS Message Display,AGVS,,114,,,,,,WW,59,WW3B
WW003C,AGVS,AGVS Message # 52,ASCII,6.4.1 AGVS Message Display,AGVS,,115,,,,,,WW,60,WW3C
WW003D,AGVS,AGVS Message # 53,ASCII,6.4.1 AGVS Message Display,AGVS,,116,,,,,,WW,61,WW3D
WW003E,AGVS,AGVS Message # 54,ASCII,6.4.1 AGVS Message Display,AGVS,,117,,,,,,WW,62,WW3E
WW003F,AGVS,AGVS Message # 55,ASCII,6.4.1 AGVS Message Display,AGVS,,118,,,,,,WW,63,WW3F
WW0040,AGVS,AGVS Message # 56,ASCII,6.4.1 AGVS Message Display,AGVS,,119,,,,,,WW,64,WW40
WW0041,AGVS,AGVS Message # 57,ASCII,6.4.1 AGVS Message Display,AGVS,,120,,,,,,WW,65,WW41
WW0042,AGVS,AGVS Message # 58,ASCII,6.4.1 AGVS Message Display,AGVS,,121,,,,,,WW,66,WW42
WW0043,AGVS,AGVS Message # 59,ASCII,6.4.1 AGVS Message Display,AGVS,,122,,,,,,WW,67,WW43
WW0044,AGVS,AGVS Message # 60,ASCII,6.4.1 AGVS Message Display,AGVS,,123,,,,,,WW,68,WW44
WW0045,AGVS,AGVS Message # 61,ASCII,6.4.1 AGVS Message Display,AGVS,,124,,,,,,WW,69,WW45
WW0046,AGVS,AGVS Message # 62,ASCII,6.4.1 AGVS Message Display,AGVS,,125,,,,,,WW,70,WW46
WW0047,AGVS,AGVS Message # 63,ASCII,6.4.1 AGVS Message Display,AGVS,,126,,,,,,WW,71,WW47
WW0048,AGVS,AGVS Message # 64,ASCII,6.4.1 AGVS Message Display,AGVS,,127,,,,,,WW,72,WW48
WW0049,AGVS,AGVS Message # 65,ASCII,6.4.1 AGVS Message Display,AGVS,,128,,,,,,WW,73,WW49
WW004A,AGVS,AGVS Message # 66,ASCII,6.4.1 AGVS Message Display,AGVS,,129,,,,,,WW,74,WW4A
WW004B,AGVS,AGVS Message # 67,ASCII,6.4.1 AGVS Message Display,AGVS,,130,,,,,,WW,75,WW4B
WW004C,AGVS,AGVS Message # 68,ASCII,6.4.1 AGVS Message Display,AGVS,,131,,,,,,WW,76,WW4C
WW004D,AGVS,AGVS Message # 69,ASCII,6.4.1 AGVS Message Display,AGVS,,132,,,,,,WW,77,WW4D
WW004E,AGVS,AGVS Message # 70,ASCII,6.4.1 AGVS Message Display,AGVS,,133,,,,,,WW,78,WW4E
WW004F,AGVS,AGVS Message # 71,ASCII,6.4.1 AGVS Message Display,AGVS,,134,,,,,,WW,79,WW4F
WW0050,AGVS,AGVS Message # 72,ASCII,6.4.1 AGVS Message Display,AGVS,,135,,,,,,WW,80,WW50
WW0051,AGVS,AGVS Message # 73,ASCII,6.4.1 AGVS Message Display,AGVS,,136,,,,,,WW,81,WW51
