Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,5000
W0000,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,Interface_Clock,55,,,,,,,,5000
W0001,AGVS,,,,,,56,,,,,,,,5000
W0002,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,AGVS,,57,,,,,,,,5000
W0003,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,AGVS,,58,,,,,,,,5000
W0004,AGVS,,,,,,59,,,,,,,,5000
W0005,AGVS,,,,,,60,,,,,,,,5000
W0006,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,,61,,,,,,,,5000
W0007,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,,,,,,,,5000
W0008,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,,,,,,,,5000
W0009,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,,64,,,,,,,,5000
W000A,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,,,,,,,,5000
W000B,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,,,,,,,,5000
W000C,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,,,,,,,,5000
W000D,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,,,,,,,,5000
W000E,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,,,,,,,,5000
W000F,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,,,,,,,,5000
W0010,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,,,,,,,,5000
W0011,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,,,,,,,,5000
W0012,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,,,,,,,,5000
W0013,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,,,,,,,,5000
W0014,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,,,,,,,,5000
W0015,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,,,,,,,,5000
W0016,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,,,,,,,,5000
W0017,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,,,,,,,,5000
W0018,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,,,,,,,,5000
W0019,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,,80,,,,,,,,5000
W001A,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,,,,,,,,5000
W001B,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,,,,,,,,5000
W001C,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,,,,,,,,5000
W001D,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,,,,,,,,5000
W001E,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,,,,,,,,5000
W001F,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,,,,,,,,5000
W0020,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,,,,,,,,5000
W0021,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,,,,,,,,5000
W0022,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,,,,,,,,5000
W0023,AGVS,AGVS Message # 27,ASCII,6.4.1 AGVS Message Display,AGVS,,90,,,,,,,,5000
W0024,AGVS,AGVS Message # 28,ASCII,6.4.1 AGVS Message Display,AGVS,,91,,,,,,,,5000
W0025,AGVS,AGVS Message # 29,ASCII,6.4.1 AGVS Message Display,AGVS,,92,,,,,,,,5000
W0026,AGVS,AGVS Message # 30,ASCII,6.4.1 AGVS Message Display,AGVS,,93,,,,,,,,5000
